Molecule,Smiles,Pi system size (# atoms)
BT6IC-HD-4Cl,C1(=O)C2=[C]C(=C([C]=C2C(=C(C#N)C#N)/C/1=[C]/c1sc2c(c1[C][C])sc1c2n([C][C]([C][C])[C])c2c1c1nsnc1c1c2n([C][C]([C][C])[C])c2c1sc1c2sc(c1[C][C])/[C]=C\1/C(=C(C#N)C#N)C2=C([C]=C(C(=[C]2)Cl)Cl)C1=O)Cl)Cl,59
IT-4F,C1(=O)C2=C([C]=C(C(=[C]2)F)F)C(=C(C#N)C#N)/C/1=[C]/C1=[C]c2c(S1)c1C(C3=[C][C]=C([C][C])[C]=[C]3)(C3=[C][C]=C([C][C])[C]=[C]3)C3=C(c1s2)[C]=C1C(C2=[C][C]=C([C][C])[C]=[C]2)(C2=[C][C]=C([C][C])[C]=[C]2)c2c(C1=[C]3)sc1c2SC(=[C]1)/[C]=C\1/C(=C(C#N)C#N)C2=C([C]=C(C(=[C]2)F)F)C1=O,54
BCDT-4Cl,C1(=O)C2=[C]C(=C([C]=C2C(=C(C#N)C#N)/C/1=[C]/C1=[C]C2=C(C3=C([C]=C(c4c(c(c(C5=[C]C6=C(C7=C([C]=C(/[C]=C/8\C(=O)C9=[C]C(=C([C]=C9C8=C(C#N)C#N)Cl)Cl)S7)C6([C][C])[C][C])S5)c5c4nsn5)O[C][C])O[C][C])S3)C2([C][C])[C][C])S1)Cl)Cl,63
AQx,C1(=O)C2=[C]C(=C(F)[C]=C2C(=C(C#N)C#N)/C/1=[C]/c1sc2c(c1[C][C])sc1c2n([C][C])c2c1c1nc([C])c([C])nc1c1c2n([C][C])c2c1sc1c2sc(c1[C][C])/[C]=C\1/C(=C(C#N)C#N)C2=C([C]=C(C(=[C]2)F)F)C1=O)F,60
Y11,C1(=O)C2=[C]C(=C(F)[C]=C2C(=C(C#N)C#N)/C/1=[C]/c1sc2c(c1[C][C])sc1c2n([C][C])c2c1c1nn([C][C])nc1c1c2n([C][C])c2c1sc1c2sc(c1[C][C])/[C]=C\1/C(=C(C#N)C#N)C2=C([C]=C(C(=[C]2)F)F)C1=O)F,59
EH-IDTBR,S1C(=S)N([C][C])C(=O)/C/1=[C]/C1=[C][C]=C(c2c1nsn2)C1=[C]C2=C(S1)C1=C(C2([C][C]([C][C])[C][C])[C][C]([C][C])[C][C])[C]=C2C(=[C]1)C([C][C]([C][C])[C][C])([C][C]([C][C])[C][C])C1=C2SC(=[C]1)C1=[C][C]=C(c2c1nsn2)/[C]=C/1\SC(=S)N([C][C])C1=O,48
BTA53,C1(=[C]C2=C(S1)C1=[C]C3=C([C]=C1C(C1=[C][C]=C([C]=[C]1)[C])(C1=[C][C]=C([C]=[C]1)[C])O2)C1=C(OC3(C2=[C][C]=C([C]=[C]2)[C])C2=[C][C]=C([C]=[C]2)[C])[C]=C(C2=[C][C]=C(c3c2nn(n3)[C])/[C]=c/2\c(=O)n(c(=C(C#N)C#N)s2)[C])S1)C1=[C][C]=C(c2c1nn(n2)[C])/[C]=c/1\c(=O)n(c(=C(C#N)C#N)s1)[C],60
SNBDT1-F,c12c(c3c(c(c1sc1c2n(c2c1SC(=[C]2)/[C]=C/1\C(=O)C2=C(C1=C(C#N)C#N)[C]=[C]C(=[C]2)F)[C][C]([C])[C])O[C][C]([C])[C])c1c(s3)c2c(n1[C][C]([C])[C])[C]=C(S2)/[C]=C/1\C(=O)C2=C(C1=C(C#N)C#N)[C]=[C]C(=[C]2)F)O[C][C]([C])[C],58
TPIC-4Cl,[C](=C\1/C(=C(C#N)C#N)C2=C(C1=O)[C]=C(C(=[C]2)Cl)Cl)\C1=[C]C2=C(S1)C1=C(C2(C2=[C][C]=C([C]=[C]2)[C][C])C2=[C][C]=C([C]=[C]2)[C][C])[C]=C2C(=[C]1)C(c1c2sc2c1n(c1c2SC(=[C]1)/[C]=C\1/C(=C(C#N)C#N)C2=C(C1=O)[C]=C(C(=[C]2)Cl)Cl)[C][C])(C1=[C][C]=C([C]=[C]1)[C][C])C1=[C][C]=C([C]=[C]1)[C][C],54
BTCIC,s1nc2c(n1)C(=[C][C]=C2C1=[C]C2=C(S1)C1=C(C2([C][C]([C][C])[C][C])[C][C]([C][C])[C][C])[C]=C(S1)/[C]=C\1/C(=C(C#N)C#N)C2=C(C1=O)[C]=[C][C]=[C]2)C1=[C]C2=C(S1)C1=C(C2([C][C]([C][C])[C][C])[C][C]([C][C])[C][C])[C]=C(S1)/[C]=C\1/C(=C(C#N)C#N)C2=C(C1=O)[C]=[C][C]=[C]2,61
SeTIC,C12=C([C]=C3C(=[C]1)C(c1c3[se]c3c1SC(=[C]3)/[C]=C\1/C(=C(C#N)C#N)C3=C(C1=O)[C]=[C][C]=[C]3)(C1=[C][C]=C([C]=[C]1)[C][C])C1=[C][C]=C([C]=[C]1)[C][C])C(c1c2[se]c2c1SC(=[C]2)/[C]=C\1/C(=C(C#N)C#N)C2=C(C1=O)[C]=[C][C]=[C]2)(C1=[C][C]=C([C]=[C]1)[C][C])C1=[C][C]=C([C]=[C]1)[C][C],54
Y15,C1(=O)C2=[C]C(=C(Cl)[C]=C2C(=C(C#N)C#N)/C/1=[C]/c1sc2c(c1[C][C])sc1c2n([C][C])c2c1c1nn([C][C])nc1c1c2n([C][C])c2c1sc1c2sc(c1[C][C])/[C]=C\1/C(=C(C#N)C#N)C2=C([C]=C(C(=[C]2)Cl)Cl)C1=O)Cl,59
BTA43,C12=[C]C3=C([C]=C1C1=C(C2(C2=[C][C]=C([C]=[C]2)O[C])C2=[C][C]=C([C]=[C]2)O[C])[C]=C(S1)C1=[C][C]=C(c2c1nn(n2)[C])/[C]=c/1\c(=O)n(c(=C(C#N)C#N)s1)[C])C(C1=C3SC(=[C]1)C1=[C][C]=C(c2c1nn(n2)[C])/[C]=c/1\c(=O)n(c(=C(C#N)C#N)s1)[C])(C1=[C][C]=C([C]=[C]1)O[C])C1=[C][C]=C([C]=[C]1)O[C],58
F-2F,C1(=O)C2=C([C]=C(C(=[C]2)F)F)C(=C(C#N)C#N)/C/1=[C]/C1=[C]C2=C(C3=[C]C4=C([C]=C3C2([C][C])[C][C])C2=C(C4([C][C])[C][C])[C]=C3C(=[C]2)C(C2=C3SC(=[C]2)/[C]=C/2\C(=O)C3=C([C]=C(C(=[C]3)F)F)C2=C(C#N)C#N)([C][C])[C][C])S1,54
BTCIC-4Cl,s1nc2c(n1)C(=[C][C]=C2C1=[C]C2=C(S1)C1=C(C2([C][C]([C][C])[C][C])[C][C]([C][C])[C][C])[C]=C(S1)/[C]=C\1/C(=C(C#N)C#N)C2=C(C1=O)[C]=C(C(=[C]2)Cl)Cl)C1=[C]C2=C(S1)C1=C(C2([C][C]([C][C])[C][C])[C][C]([C][C])[C][C])[C]=C(S1)/[C]=C\1/C(=C(C#N)C#N)C2=C(C1=O)[C]=C(C(=[C]2)Cl)Cl,61
BTDT2R,c1(c(c(c(c2c1nsn2)C1=[C][C]=C(S1)/[C]=C/1\SC(=S)N(C1=O)[C])O[C])O[C])C1=[C][C]=C(S1)/[C]=C\1/C(=O)N(C(=S)S1)[C],35
CPDT-4F,[C]1=C(C(=[C]C2=C1C(=C(C#N)C#N)/C(=[C]/C1=[C]C3=C(S1)C1=C(C3([C][C])[C][C])[C]=C(S1)C1=[C]C3=C(S1)C1=C(C3([C][C])[C][C])[C]=C(S1)/[C]=C\1/C(=C(C#N)C#N)C3=C(C1=O)[C]=C(C(=[C]3)F)F)/C2=O)F)F,52
IDST-4F,C1(=[C]C2=C(C3=C(C2([C][C])[C][C])[C]=C2C(=[C]3)C(C3=C2SC(=[C]3)/[C]=C\2/C(=C(C#N)C#N)C3=C(C2=O)[C]=C(C(=[C]3)F)F)([C][C])[C][C])S1)C1=C([C]=C(/[C]=C\2/C(=C(C#N)C#N)C3=C(C2=O)[C]=C(C(=[C]3)F)F)S1)S[C][C][C],53
M8,c12c(c(c3c(c1O[C][C])c1c(o3)c3c(n1[C][C])[C]=C(S3)/[C]=C/1\C(=O)C3=C(C1=C(C#N)C#N)[C]=C(C(=[C]3)F)F)O[C][C])c1c(o2)c2c(n1[C][C])[C]=C(S2)/[C]=C/1\C(=O)C2=C(C1=C(C#N)C#N)[C]=C(C(=[C]2)F)F,58
ZY-4Cl,C1(=O)C2=[C]C(=C(Cl)[C]=C2C(=O)/C/1=[C]/c1sc2c(c1[C][C])sc1c2n([C][C])c2c1c1nsnc1c1c2n([C][C])c2c1sc1c2sc(c1[C][C])/[C]=C\1/C(=O)C2=C([C]=C(C(=[C]2)Cl)Cl)C1=O)Cl,51
CH1007,C1(=O)C2=[C]C(=C(F)[C]=C2C(=C(C#N)C#N)/C/1=[C]/c1[se]c2c(c1[C][C])sc1c2n([C][C])c2c1c1nsnc1c1c2n([C][C])c2c1sc1c2[se]c(c1[C][C])/[C]=C\1/C(=C(C#N)C#N)C2=C([C]=C(C(=[C]2)F)F)C1=O)F,59
BDTN-BF,C1(=O)C2=[C]C(=C([C]=C2C(=C(C#N)C#N)/C/1=[C]/C1=[C]c2c(S1)c1c(n2[C][C]([C][C])[C][C])c2c(s1)c(c1c(c2O[C][C])sc2c1n(c1c2SC(=[C]1)/[C]=C/1\C(=O)C2=[C]C(=C([C]=C2C1=C(C#N)C#N)F)F)[C][C]([C][C])[C][C])O[C][C])F)F,58
IDTT-TBTA,[C](=C1C(=O)N(C(=S)N(C1=O)[C][C])[C][C])C1=[C]c2c(S1)c1C(C3=[C][C]=C([C][C])[C]=[C]3)(C3=[C][C]=C([C][C])[C]=[C]3)C3=C(c1s2)[C]=C1C(C2=[C][C]=C([C][C])[C]=[C]2)(C2=[C][C]=C([C][C])[C]=[C]2)c2c(C1=[C]3)sc1c2SC(=[C]1)[C]=C1C(=O)N(C(=S)N(C1=O)[C][C])[C][C],42
ITIC,C1(=O)C2=C([C]=[C][C]=[C]2)C(=C(C#N)C#N)/C/1=[C]/C1=[C]c2c(S1)c1C(C3=[C][C]=C([C][C])[C]=[C]3)(C3=[C][C]=C([C][C])[C]=[C]3)C3=C(c1s2)[C]=C1C(C2=[C][C]=C([C][C])[C]=[C]2)(C2=[C][C]=C([C][C])[C]=[C]2)c2c(C1=[C]3)sc1c2SC(=[C]1)/[C]=C\1/C(=C(C#N)C#N)C2=C([C]=[C][C]=[C]2)C1=O,54
NIDT,C12=C([C]=C3C(=[C]1)C(c1c3sc3c1SC(=[C]3)/[C]=C\1/C3=C4C(=[C][C]=C5C4=C([C]=[C]3)C(=O)N(C5=O)[C][C]([C])[C])C1=O)(C1=[C][C]=C([C]=[C]1)[C][C])C1=[C][C]=C([C]=[C]1)[C][C])C(c1c2sc2c1SC(=[C]2)/[C]=C\1/C2=C3C(=[C][C]=C4C3=C([C]=[C]2)C(=O)N(C4=O)[C][C]([C])[C])C1=O)(C1=[C][C]=C([C]=[C]1)[C][C])C1=[C][C]=C([C]=[C]1)[C][C],60
N65-IC,[C]1=[C][C]=C2C3=C1C(c1c(C3=[C]C3=C2c2c(C3(C3=[C][C]=C([C]=[C]3)[C][C])[C]C3=[C][C]=C([C]=[C]3)[C][C])c3c(s2)[C]=C(S3)/[C]=C\2/C(=C(C#N)C#N)C3=C(C2=O)[C]=[C][C]=[C]3)sc2c1SC(=[C]2)/[C]=C\1/C(=C(C#N)C#N)C2=C(C1=O)[C]=[C][C]=[C]2)(C1=[C][C]=C([C]=[C]1)[C][C])C1=[C][C]=C([C]=[C]1)[C][C],58
i-cc23,C1(=C(C(=[C]S1)/[C]=C/1\C(=O)C2=C(C1=C(C#N)C#N)[C]=[C]S2)O[C])C1=[C]C2=C(S1)C1=C(C2(C2=[C][C]=C([C]=[C]2)[C][C])C2=[C][C]=C([C]=[C]2)[C][C])[C]=C2C(=[C]1)C(C1=C2SC(=[C]1)C1=C(C(=[C]S1)/[C]=C/1\C(=O)C2=C(C1=C(C#N)C#N)[C]=[C]S2)O[C])(C1=[C][C]=C([C]=[C]1)[C][C])C1=[C][C]=C([C]=[C]1)[C][C],58
o-IO2,C1(=O)C2=[C]C(=C([C]=C2C(=C(C#N)C#N)/C/1=[C]/C1=[C]C(=C(S1)C1=[C]C2=C(S1)C1=C(C2([C][C])[C][C])[C]=C2C(=[C]1)C(C1=C2SC(=[C]1)C1=C([C]=C(S1)/[C]=C/1\C(=O)C2=[C]C(=C([C]=C2C1=C(C#N)C#N)F)F)O[C][C]([C])[C])([C][C])[C][C])O[C][C]([C])[C])F)F,60
AQx-2,C1(=O)C2=[C]C(=C(F)[C]=C2C(=C(C#N)C#N)/C/1=[C]/c1sc2c(c1[C][C])sc1c2n([C][C])c2c1c1N=[C][C]=Nc1c1c2n([C][C])c2c1sc1c2sc(c1[C][C])/[C]=C\1/C(=C(C#N)C#N)C2=C([C]=C(C(=[C]2)F)F)C1=O)F,60
NIBT,C12=C([C]=C3C(=[C]1)C(C1=C3SC(=[C]1)C1=[C][C]=C(c3c1nsn3)[C][C]1C3=C4C(=[C][C]=C5C4=C([C]=[C]3)C(=O)N(C5=O)[C][C]([C])[C])C1=O)(C1=[C][C]=C([C]=[C]1)[C][C])C1=[C][C]=C([C]=[C]1)[C][C])C(C1=C2SC(=[C]1)C1=[C][C]=C(c2c1nsn2)/[C]=C\1/C2=C3C(=[C][C]=C4C3=C([C]=[C]2)C(=O)N(C4=O)[C][C]([C])[C])C1=O)(C1=[C][C]=C([C]=[C]1)[C][C])C1=[C][C]=C([C]=[C]1)[C][C],53
TPIC,[C](=C\1/C(=C(C#N)C#N)C2=C(C1=O)[C]=CC=[C]2)\C1=[C]C2=C(S1)C1=C(C2(C2=[C][C]=C([C]=[C]2)[C][C])C2=[C][C]=C([C]=[C]2)[C][C])[C]=C2C(=[C]1)C(c1c2sc2c1n(c1c2SC(=[C]1)/[C]=C\1/C(=C(C#N)C#N)C2=C(C1=O)[C]=CC=[C]2)[C][C])(C1=[C][C]=C([C]=[C]1)[C][C])C1=[C][C]=C([C]=[C]1)[C][C],54
FO-2F,C1(=O)C2=C([C]=C(C(=[C]2)F)F)C(=C(C#N)C#N)/C/1=[C]/C1=[C]C2=C(S1)C1=[C]C3=C([C]=C1OC2([C][C])[C][C])C1=C(C3([C][C])[C][C])[C]=C2C(=[C]1)OC(C1=C2SC(=[C]1)/[C]=C\1/C(=C(C#N)C#N)C2=C([C]=C(C(=[C]2)F)F)C1=O)([C][C])[C][C],56
BTP-PhC6,C1(=O)C2=[C]C(=C(F)[C]=C2C(=C(C#N)C#N)/C/1=[C]/c1sc2c(c1C1=[C][C]=C([C]=[C]1)[C][C])sc1c2n([C]([C][C])[C][C])c2c1c1nsnc1c1c2n([C][C]([C][C])[C][C])c2c1sc1c2sc(c1C1=[C][C]=C([C]=[C]1)[C][C])/[C]=C\1/C(=C(C#N)C#N)C2=C([C]=C(C(=[C]2)F)F)C1=O)F,71
FDICTF,C1(=O)C2=C([C]=[C][C]=[C]2)C(=C(C#N)C#N)/C/1=[C]/C1=[C]C2=C(S1)C1=[C]C3=C([C]=C1C2([C][C])[C][C])C1=C(C3([C][C])[C][C])[C]=C2C(=[C]1)C(C1=C2SC(=[C]1)/[C]=C\1/C(=C(C#N)C#N)C2=C([C]=[C][C]=[C]2)C1=O)([C][C])[C][C],54
F-H,C1(=O)C2=C([C]=[C][C]=[C]2)C(=C(C#N)C#N)/C/1=[C]/C1=[C]C2=C(C3=[C]C4=C([C]=C3C2([C][C])[C][C])C2=C(C4([C][C])[C][C])[C]=C3C(=[C]2)C(C2=C3SC(=[C]2)/[C]=C/2\C(=O)C3=C([C]=[C][C]=[C]3)C2=C(C#N)C#N)([C][C])[C][C])S1,54
M34,c12c(c(c3c(c1O[C][C])c1c(s3)c3c(n1[C][C])[C]=C(S3)/[C]=C/1\C(=O)C3=C(C1=C(C#N)C#N)[C]=C(C(=[C]3)F)F)O[C][C])c1c(s2)c2c(n1[C][C])[C]=C(S2)/[C]=C/1\C(=O)C2=C(C1=C(C#N)C#N)[C]=C(C(=[C]2)F)F,58
N3,C1(=O)C2=[C]C(=C(F)[C]=C2C(=C(C#N)C#N)/C/1=[C]/c1sc2c(c1[C][C])sc1c2n([C][C][C]([C])[C][C])c2c1c1nsnc1c1c2n([C][C][C]([C])[C][C])c2c1sc1c2sc(c1[C][C])/[C]=C\1/C(=C(C#N)C#N)C2=C([C]=C(C(=[C]2)F)F)C1=O)F,59
